,Ask,BaseVolume,Bid,High,Last,Low,OpenBuy,OpenSell,time
31384,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018-02-13T20:10:00Z
31385,0.0,0.0,2.0,0.0,0.0,0.0,111.0,0.0,2018-02-13T20:20:00Z
31386,0.0,0.0,2.0,0.0,0.0,0.0,111.0,0.0,2018-02-13T20:30:00Z
31387,0.0,0.0,2.0,0.0,0.0,0.0,210.0,0.0,2018-02-13T20:40:00Z
31388,0.00015449,27.15931051,0.0001499,2.0,0.00015449,0.0001363,252.0,73.0,2018-02-13T20:50:00Z
31389,0.00014,48.36862353,0.0001399,2.0,0.00014,0.0001363,234.0,122.0,2018-02-13T21:00:00Z
31390,0.0001424,63.45110922,0.00013991,2.0,0.00013991,0.000135,231.0,175.0,2018-02-13T21:10:00Z
31391,0.00014488,72.96094346,0.0001431,2.0,0.00014489,0.000135,243.0,183.0,2018-02-13T21:20:00Z
31392,0.00015228,93.29281141,0.00015048,2.0,0.0001505,0.000135,281.0,212.0,2018-02-13T21:30:00Z
31393,0.00015,104.17699497,0.00014878,2.0,0.00015,0.000135,250.0,265.0,2018-02-13T21:40:00Z
31394,0.00014609,110.04720971,0.000146,2.0,0.000146,0.000135,239.0,291.0,2018-02-13T21:50:00Z
31395,0.0001428,114.16953649,0.00014271,2.0,0.0001427,0.000135,261.0,328.0,2018-02-13T22:00:00Z
31396,0.00014247,118.95449661,0.00014103,2.0,0.00014128,0.000135,253.0,344.0,2018-02-13T22:10:00Z
31397,0.00014071,123.41836629,0.00013799,2.0,0.00013799,0.000135,237.0,365.0,2018-02-13T22:20:00Z
31398,0.00013422,131.33842247,0.000132,2.0,0.00013422,0.00013009,236.0,386.0,2018-02-13T22:30:00Z
31399,0.00013988,137.36806898,0.0001398,2.0,0.00013899,0.00013009,250.0,398.0,2018-02-13T22:40:00Z
31400,0.00014247,147.07954386,0.00014103,2.0,0.000141,0.00013009,268.0,403.0,2018-02-13T22:50:00Z
31401,0.00014396,157.52440661,0.0001435,2.0,0.00014389,0.00013009,269.0,397.0,2018-02-13T23:00:00Z
31402,0.00014599,178.08989711,0.00014418,2.0,0.0001458,0.00013009,276.0,409.0,2018-02-13T23:10:00Z
31403,0.0001464,196.18000216,0.00014456,2.0,0.00014451,0.00013009,289.0,428.0,2018-02-13T23:20:00Z
31404,0.00014619,198.85553926,0.0001436,2.0,0.00014619,0.00013009,289.0,442.0,2018-02-13T23:30:00Z
31405,0.00014223,200.92100886,0.000142,2.0,0.000142,0.00013009,289.0,460.0,2018-02-13T23:40:00Z
31406,0.0001397,206.70050524,0.00013801,2.0,0.00013801,0.00013009,261.0,459.0,2018-02-13T23:50:00Z
31407,0.000141,212.74229019,0.00014,2.0,0.000141,0.00013009,269.0,454.0,2018-02-14T00:00:00Z
31408,0.00014301,217.57674638,0.000142,2.0,0.00014301,0.00013009,274.0,461.0,2018-02-14T00:10:00Z
31409,0.00014015,221.10680459,0.00014,2.0,0.00014015,0.00013009,277.0,481.0,2018-02-14T00:20:00Z
31410,0.00013976,228.82714831,0.0001383,2.0,0.00013823,0.00013009,276.0,496.0,2018-02-14T00:30:00Z
31411,0.00014164,231.16438994,0.0001415,2.0,0.0001415,0.00013009,279.0,486.0,2018-02-14T00:40:00Z
31412,0.00014016,232.63479912,0.00014015,2.0,0.00014016,0.00013009,280.0,497.0,2018-02-14T00:50:00Z
31413,0.00014387,234.12404875,0.0001436,2.0,0.00014361,0.00013009,286.0,484.0,2018-02-14T01:00:00Z
31414,0.000141,238.29714354,0.00014043,2.0,0.00014043,0.00013009,279.0,492.0,2018-02-14T01:10:00Z
31415,0.00013799,246.02625838,0.00013794,2.0,0.000138,0.00013009,266.0,498.0,2018-02-14T01:20:00Z
31416,0.0001394,248.49683766,0.00013928,2.0,0.00013928,0.00013009,282.0,513.0,2018-02-14T01:30:00Z
31417,0.00014,251.10279743,0.00013933,2.0,0.00014,0.00013009,284.0,502.0,2018-02-14T01:40:00Z
31418,0.00013925,255.09849762,0.000138,2.0,0.000138,0.00013009,281.0,514.0,2018-02-14T01:50:00Z
31419,0.00013993,255.67380471,0.0001382,2.0,0.00013992,0.00013009,287.0,522.0,2018-02-14T02:00:00Z
31420,0.00014386,259.74378272,0.00014114,2.0,0.00014389,0.00013009,292.0,505.0,2018-02-14T02:10:00Z
31421,0.00014468,265.79613575,0.00014285,2.0,0.00014285,0.00013009,295.0,503.0,2018-02-14T02:20:00Z
31422,0.00014498,267.19357153,0.000144,2.0,0.00014498,0.00013009,310.0,504.0,2018-02-14T02:30:00Z
31423,0.0001459,271.82188948,0.000143,2.0,0.0001459,0.00013009,313.0,512.0,2018-02-14T02:40:00Z
31424,0.00015195,291.47911872,0.00014712,2.0,0.00014926,0.00013009,344.0,459.0,2018-02-14T02:50:00Z
31425,0.000146,297.90494597,0.0001455,2.0,0.000146,0.00013009,332.0,470.0,2018-02-14T03:00:00Z
31426,0.00014787,302.44409314,0.00014621,2.0,0.000148,0.00013009,335.0,472.0,2018-02-14T03:10:00Z
31427,0.0001455,305.34887372,0.00014514,2.0,0.0001455,0.00013009,337.0,477.0,2018-02-14T03:20:00Z
31428,0.00015368,326.61095931,0.00015214,2.0,0.00015001,0.00013009,348.0,460.0,2018-02-14T03:30:00Z
31429,0.00016389,385.7458551,0.00016027,2.0,0.0001639,0.00013009,381.0,424.0,2018-02-14T03:40:00Z
31430,0.00018198,499.0223407,0.00017801,2.0,0.00017801,0.00013009,426.0,383.0,2018-02-14T03:50:00Z
31431,0.00017419,558.48344683,0.00017295,2.0,0.00017419,0.00013009,483.0,478.0,2018-02-14T04:00:00Z
31432,0.0001675,595.58783015,0.00016614,2.0,0.000166,0.00013009,468.0,515.0,2018-02-14T04:10:00Z
31433,0.00016507,623.09639174,0.00016449,2.0,0.00016449,0.00013009,454.0,533.0,2018-02-14T04:20:00Z
31434,0.00017026,658.03994555,0.00016906,2.0,0.0001698,0.00013009,481.0,528.0,2018-02-14T04:30:00Z
31435,0.000172,674.70072567,0.00017179,2.0,0.0001707,0.00013009,501.0,530.0,2018-02-14T04:40:00Z
31436,0.00017455,715.59504933,0.0001742,2.0,0.0001742,0.00013009,515.0,503.0,2018-02-14T04:50:00Z
31437,0.00018409,809.93688411,0.00018293,2.0,0.00018105,0.00013009,515.0,448.0,2018-02-14T05:00:00Z
31438,0.00018667,859.59059387,0.000184,2.0,0.00018678,0.00013009,547.0,502.0,2018-02-14T05:10:00Z
31439,0.000182,909.73412563,0.0001818,2.0,0.0001818,0.00013009,531.0,517.0,2018-02-14T05:20:00Z
31440,0.000185,948.89382017,0.00018499,2.0,0.00018589,0.00013009,532.0,528.0,2018-02-14T05:30:00Z
31441,0.00018353,975.94523829,0.0001822,2.0,0.00018353,0.00013009,522.0,561.0,2018-02-14T05:40:00Z
31442,0.000187,1000.16258163,0.00018692,2.0,0.000187,0.00013009,531.0,562.0,2018-02-14T05:50:00Z
